algorithm,run,cost,makespan
EDA-TS,1,4983.149999999998,115.0
EDA-TS,1,5351.67,88.0
EDA-TS,1,5090.449999999998,94.0
EDA-TS,1,4983.149999999999,110.0
EDA-TS,1,4997.399999999999,102.0
NSGA-II,1,6054.969999999998,100.0
NSGA-II,1,5388.4,135.0
NSGA-II,1,5576.674999999997,112.0
NSGA-II,1,5503.9349999999995,120.0
NSGA-II,1,5667.815000000001,106.0
NSGA-II,1,5560.800000000001,118.0
NSGA-II,1,5503.399999999999,126.0
NSGA-II,1,5674.625,105.0
NSGA-II,1,5595.374999999999,108.0
NSGA-II,1,5699.34,103.0
EDA-TS,2,5966.335,88.0
EDA-TS,2,4983.149999999998,112.0
EDA-TS,2,4983.149999999999,111.0
EDA-TS,2,5050.85,109.0
EDA-TS,2,5184.6725,93.0
EDA-TS,2,5080.7,105.0
NSGA-II,2,5432.115,103.0
NSGA-II,2,5417.249999999998,120.0
NSGA-II,2,5420.874999999998,117.0
NSGA-II,2,5524.409999999998,93.0
NSGA-II,2,5359.299999999999,124.0
GLOBAL-ND,1,5351.67,88.0
GLOBAL-ND,1,5090.449999999998,94.0
GLOBAL-ND,1,4983.149999999999,110.0
GLOBAL-ND,1,4997.399999999999,102.0
GLOBAL-ND,2,4983.149999999998,112.0
GLOBAL-ND,2,5184.6725,93.0
