algorithm,run,cost,makespan
EDA-TS,1,5437.3150000000005,115.0
EDA-TS,1,5494.224999999999,112.0
EDA-TS,1,5788.909999999999,98.0
EDA-TS,1,5539.065,109.0
EDA-TS,1,5771.735000000002,103.0
EDA-TS,1,5173.719999999999,157.0
EDA-TS,1,5774.140000000001,102.0
EDA-TS,1,5606.670000000001,106.0
EDA-TS,1,5250.505000000001,119.0
NSGA-II,1,5697.6900000000005,113.0
NSGA-II,1,5660.805,117.0
NSGA-II,1,5731.449999999999,110.0
NSGA-II,1,5647.074999999999,118.0
NSGA-II,1,5772.239999999997,95.0
NSGA-II,1,5736.099999999998,102.0
NSGA-II,1,5595.354999999998,124.0
EDA-TS,2,5173.719999999999,168.0
EDA-TS,2,5750.554999999999,95.0
EDA-TS,2,5604.315000000001,101.0
EDA-TS,2,5348.100000000001,103.0
EDA-TS,2,5294.8200000000015,136.0
EDA-TS,2,5319.065,122.0
NSGA-II,2,5732.200000000001,102.0
NSGA-II,2,5842.184999999998,99.0
NSGA-II,2,5603.714999999997,118.0
NSGA-II,2,5499.435,128.0
NSGA-II,2,5605.479999999998,108.0
NSGA-II,2,5914.3099999999995,96.0
NSGA-II,2,5583.814999999997,126.0
GLOBAL-ND,1,5173.719999999999,157.0
GLOBAL-ND,1,5250.505000000001,119.0
GLOBAL-ND,2,5750.554999999999,95.0
GLOBAL-ND,2,5604.315000000001,101.0
GLOBAL-ND,2,5348.100000000001,103.0
