instance,run,a,b,c_ab,c_ba
sdmk05,1,EDA-TS,EDA,0.0,0.14814814814814814
sdmk05,1,EDA-TS,NSGA-II,0.6923076923076923,0.0
sdmk05,1,EDA-TS,EDA-VNS,0.0,0.9629629629629629
sdmk05,1,EDA-TS,H-GA-TS,1.0,0.0
sdmk05,1,EDA,NSGA-II,0.46153846153846156,0.0
sdmk05,1,EDA,EDA-VNS,0.0,1.0
sdmk05,1,EDA,H-GA-TS,0.13333333333333333,0.0
sdmk05,1,NSGA-II,EDA-VNS,0.0,0.6153846153846154
sdmk05,1,NSGA-II,H-GA-TS,0.1,0.15384615384615385
sdmk05,1,EDA-VNS,H-GA-TS,1.0,0.0
sdmk05,2,EDA-TS,EDA,1.0,0.0
sdmk05,2,EDA-TS,NSGA-II,1.0,0.0
sdmk05,2,EDA-TS,EDA-VNS,0.0,0.16666666666666666
sdmk05,2,EDA-TS,H-GA-TS,1.0,0.0
sdmk05,2,EDA,NSGA-II,0.6428571428571429,0.0
sdmk05,2,EDA,EDA-VNS,0.0,1.0
sdmk05,2,EDA,H-GA-TS,0.2,0.0
sdmk05,2,NSGA-II,EDA-VNS,0.0,0.6428571428571429
sdmk05,2,NSGA-II,H-GA-TS,0.0,0.42857142857142855
sdmk05,2,EDA-VNS,H-GA-TS,1.0,0.0
