instance,run,algorithm,cost,makespan
sdmk05,1,EDA-TS,2283.0,89.0
sdmk05,1,EDA-TS,2283.0,89.0
sdmk05,1,EDA-TS,2283.0,89.0
sdmk05,1,EDA-TS,2283.0,89.0
sdmk05,1,EDA-TS,2283.0,89.0
sdmk05,1,EDA-TS,2283.0,89.0
sdmk05,1,EDA-TS,2283.0,89.0
sdmk05,1,EDA-TS,2283.0,89.0
sdmk05,1,EDA-TS,2460.0,85.0
sdmk05,1,EDA-TS,2278.0,92.0
sdmk05,1,EDA-TS,2283.0,89.0
sdmk05,1,EDA-TS,2283.0,89.0
sdmk05,1,EDA-TS,2283.0,89.0
sdmk05,1,EDA-TS,2274.0,93.0
sdmk05,1,EDA-TS,2283.0,89.0
sdmk05,1,EDA-TS,2283.0,89.0
sdmk05,1,EDA-TS,2243.0,94.0
sdmk05,1,EDA-TS,2283.0,89.0
sdmk05,1,EDA-TS,2278.0,92.0
sdmk05,1,EDA-TS,2283.0,89.0
sdmk05,1,EDA-TS,2278.0,92.0
sdmk05,1,EDA-TS,2283.0,89.0
sdmk05,1,EDA-TS,2283.0,89.0
sdmk05,1,EDA-TS,2283.0,89.0
sdmk05,1,EDA-TS,2283.0,89.0
sdmk05,1,EDA-TS,2283.0,89.0
sdmk05,1,EDA-TS,2283.0,89.0
sdmk05,1,EDA,2248.0,91.0
sdmk05,1,NSGA-II,2457.0,87.0
sdmk05,1,NSGA-II,2369.0,97.0
sdmk05,1,NSGA-II,2466.0,86.0
sdmk05,1,NSGA-II,2514.0,84.0
sdmk05,1,NSGA-II,2378.0,96.0
sdmk05,1,NSGA-II,2418.0,89.0
sdmk05,1,NSGA-II,2367.0,100.0
sdmk05,1,NSGA-II,2343.0,101.0
sdmk05,1,NSGA-II,2445.0,88.0
sdmk05,1,NSGA-II,2467.0,85.0
sdmk05,1,NSGA-II,2391.0,91.0
sdmk05,1,NSGA-II,2385.0,95.0
sdmk05,1,NSGA-II,2514.0,84.0
sdmk05,1,EDA-VNS,2250.0,88.0
sdmk05,1,EDA-VNS,2250.0,88.0
sdmk05,1,EDA-VNS,2250.0,88.0
sdmk05,1,EDA-VNS,2250.0,88.0
sdmk05,1,EDA-VNS,2243.0,91.0
sdmk05,1,H-GA-TS,2245.0,105.0
sdmk05,1,H-GA-TS,2245.0,105.0
sdmk05,1,H-GA-TS,2245.0,105.0
sdmk05,1,H-GA-TS,2245.0,105.0
sdmk05,1,H-GA-TS,2245.0,105.0
sdmk05,1,H-GA-TS,2245.0,105.0
sdmk05,1,H-GA-TS,2245.0,105.0
sdmk05,1,H-GA-TS,2245.0,105.0
sdmk05,1,H-GA-TS,2243.0,109.0
sdmk05,1,H-GA-TS,2245.0,105.0
sdmk05,1,H-GA-TS,2245.0,105.0
sdmk05,1,H-GA-TS,2245.0,105.0
sdmk05,1,H-GA-TS,2592.0,96.0
sdmk05,1,H-GA-TS,2622.0,91.0
sdmk05,1,H-GA-TS,2535.0,99.0
sdmk05,1,H-GA-TS,2245.0,105.0
sdmk05,1,H-GA-TS,2245.0,105.0
sdmk05,1,H-GA-TS,2245.0,105.0
sdmk05,1,H-GA-TS,2245.0,105.0
sdmk05,1,H-GA-TS,2245.0,105.0
sdmk05,1,H-GA-TS,2245.0,105.0
sdmk05,1,H-GA-TS,2245.0,105.0
sdmk05,1,H-GA-TS,2245.0,105.0
sdmk05,1,H-GA-TS,2267.0,100.0
sdmk05,1,H-GA-TS,2245.0,105.0
sdmk05,1,H-GA-TS,2245.0,105.0
sdmk05,1,H-GA-TS,2245.0,105.0
sdmk05,1,H-GA-TS,2245.0,105.0
sdmk05,1,H-GA-TS,2245.0,105.0
sdmk05,1,H-GA-TS,2245.0,105.0
sdmk05,2,EDA-TS,2363.0,82.0
sdmk05,2,EDA-TS,2354.0,84.0
sdmk05,2,EDA-TS,2363.0,82.0
sdmk05,2,EDA-TS,2354.0,84.0
sdmk05,2,EDA-TS,2250.0,86.0
sdmk05,2,EDA-TS,2243.0,93.0
sdmk05,2,EDA-TS,2363.0,82.0
sdmk05,2,EDA-TS,2363.0,82.0
sdmk05,2,EDA-TS,2363.0,82.0
sdmk05,2,EDA-TS,2363.0,82.0
sdmk05,2,EDA-TS,2363.0,82.0
sdmk05,2,EDA-TS,2250.0,86.0
sdmk05,2,EDA-TS,2363.0,82.0
sdmk05,2,EDA-TS,2363.0,82.0
sdmk05,2,EDA-TS,2243.0,93.0
sdmk05,2,EDA-TS,2363.0,82.0
sdmk05,2,EDA-TS,2363.0,82.0
sdmk05,2,EDA-TS,2243.0,93.0
sdmk05,2,EDA,2250.0,91.0
sdmk05,2,NSGA-II,2385.0,98.0
sdmk05,2,NSGA-II,2460.0,86.0
sdmk05,2,NSGA-II,2363.0,106.0
sdmk05,2,NSGA-II,2619.0,82.0
sdmk05,2,NSGA-II,2406.0,88.0
sdmk05,2,NSGA-II,2376.0,102.0
sdmk05,2,NSGA-II,2421.0,87.0
sdmk05,2,NSGA-II,2397.0,91.0
sdmk05,2,NSGA-II,2340.0,112.0
sdmk05,2,NSGA-II,2396.0,92.0
sdmk05,2,NSGA-II,2391.0,94.0
sdmk05,2,NSGA-II,2369.0,104.0
sdmk05,2,NSGA-II,2390.0,95.0
sdmk05,2,NSGA-II,2499.0,85.0
sdmk05,2,EDA-VNS,2243.0,91.0
sdmk05,2,EDA-VNS,2243.0,91.0
sdmk05,2,EDA-VNS,2243.0,91.0
sdmk05,2,EDA-VNS,2243.0,91.0
sdmk05,2,EDA-VNS,2243.0,91.0
sdmk05,2,H-GA-TS,2243.0,107.0
sdmk05,2,H-GA-TS,2283.0,95.0
sdmk05,2,H-GA-TS,2243.0,107.0
sdmk05,2,H-GA-TS,2257.0,100.0
sdmk05,2,H-GA-TS,2250.0,101.0
sdmk05,2,H-GA-TS,2275.0,96.0
sdmk05,2,H-GA-TS,2275.0,96.0
sdmk05,2,H-GA-TS,2244.0,106.0
sdmk05,2,H-GA-TS,2250.0,101.0
sdmk05,2,H-GA-TS,2244.0,106.0
sdmk05,2,H-GA-TS,2243.0,107.0
sdmk05,2,H-GA-TS,2250.0,101.0
sdmk05,2,H-GA-TS,2243.0,107.0
sdmk05,2,H-GA-TS,2250.0,101.0
sdmk05,2,H-GA-TS,2243.0,107.0
sdmk05,2,H-GA-TS,2250.0,101.0
sdmk05,2,H-GA-TS,2243.0,107.0
sdmk05,2,H-GA-TS,2243.0,107.0
sdmk05,2,H-GA-TS,2243.0,107.0
sdmk05,2,H-GA-TS,2243.0,107.0
sdmk05,2,H-GA-TS,2243.0,107.0
sdmk05,2,H-GA-TS,2243.0,107.0
sdmk05,2,H-GA-TS,2243.0,107.0
sdmk05,2,H-GA-TS,2250.0,101.0
sdmk05,2,H-GA-TS,2243.0,107.0
