instance,run,algorithm,seed,GD,IGD,runtime_s,nd_size,best_cost,best_makespan
sdmk05,1,EDA-TS,20270409,5.960547014604105,16.83358289286242,100.190269947052,27,2243.0,85.0
sdmk05,1,EDA,20270409,3.605551275463989,108.0810607132351,36.38095831871033,1,2248.0,91.0
sdmk05,1,NSGA-II,20270409,15.882147321766533,53.30234816898492,11.598585367202759,13,2343.0,84.0
sdmk05,1,EDA-VNS,20270409,0.0,105.00938283397623,101.82361507415771,5,2243.0,88.0
sdmk05,1,H-GA-TS,20270409,5.20299059302543,32.42771385347883,105.6500256061554,30,2243.0,91.0
sdmk05,2,EDA-TS,20270410,0.19245008972987523,0.5,101.43164849281311,18,2243.0,82.0
sdmk05,2,EDA,20270410,5.0,75.0203433397212,37.55670499801636,1,2250.0,91.0
sdmk05,2,NSGA-II,20270410,23.29557197128647,49.098724835394776,11.92365550994873,14,2340.0,82.0
sdmk05,2,EDA-VNS,20270410,0.0,78.1676473938579,101.43942785263062,5,2243.0,91.0
sdmk05,2,H-GA-TS,20270410,2.3612708442700936,56.31349710210257,109.16848111152649,50,2243.0,95.0
