instance,run,algorithm,cost,makespan
sdmk05,1,EDA-TS,2499.0,95.0
sdmk05,1,EDA-TS,2243.0,98.0
sdmk05,1,EDA-TS,2505.0,86.0
sdmk05,1,EDA-TS,2504.0,94.0
sdmk05,1,EDA,2480.0,119.0
sdmk05,1,EDA,2539.0,105.0
sdmk05,1,EDA,2533.0,110.0
sdmk05,1,EDA,2425.0,130.0
sdmk05,1,EDA,2510.0,115.0
sdmk05,1,EDA,2540.0,98.0
sdmk05,1,NSGA-II,2504.0,111.0
sdmk05,1,NSGA-II,2490.0,156.0
sdmk05,1,NSGA-II,2630.0,101.0
sdmk05,1,NSGA-II,2545.0,103.0
sdmk05,1,NSGA-II,2502.0,130.0
sdmk05,1,NSGA-II,2647.0,96.0
sdmk05,1,NSGA-II,2609.0,102.0
sdmk05,1,EDA-VNS,2528.0,100.0
sdmk05,1,EDA-VNS,2403.0,102.0
sdmk05,1,EDA-VNS,2403.0,102.0
sdmk05,1,H-GA-TS,2691.0,97.0
sdmk05,1,H-GA-TS,2691.0,97.0
sdmk05,1,H-GA-TS,2578.0,109.0
sdmk05,1,H-GA-TS,2554.0,110.0
sdmk05,1,H-GA-TS,2691.0,97.0
sdmk05,1,H-GA-TS,2511.0,111.0
sdmk05,1,H-GA-TS,2458.0,113.0
sdmk05,1,H-GA-TS,2454.0,114.0
sdmk05,1,H-GA-TS,2554.0,110.0
sdmk05,1,H-GA-TS,2671.0,99.0
sdmk05,1,H-GA-TS,2511.0,111.0
sdmk05,1,H-GA-TS,2436.0,121.0
sdmk05,2,EDA-TS,2393.0,103.0
sdmk05,2,EDA-TS,2370.0,104.0
sdmk05,2,EDA-TS,2522.0,92.0
sdmk05,2,EDA-TS,2243.0,106.0
sdmk05,2,EDA-TS,2438.0,94.0
sdmk05,2,EDA-TS,2418.0,98.0
sdmk05,2,EDA-TS,2393.0,103.0
sdmk05,2,EDA,2504.0,109.0
sdmk05,2,EDA,2401.0,120.0
sdmk05,2,EDA,2482.0,110.0
sdmk05,2,NSGA-II,2533.0,102.0
sdmk05,2,NSGA-II,2509.0,112.0
sdmk05,2,NSGA-II,2503.0,117.0
sdmk05,2,NSGA-II,2487.0,134.0
sdmk05,2,EDA-VNS,2475.0,115.0
sdmk05,2,EDA-VNS,2453.0,141.0
sdmk05,2,EDA-VNS,2488.0,105.0
sdmk05,2,EDA-VNS,2456.0,127.0
sdmk05,2,EDA-VNS,2509.0,104.0
sdmk05,2,EDA-VNS,2454.0,128.0
sdmk05,2,H-GA-TS,2652.0,96.0
sdmk05,2,H-GA-TS,2615.0,101.0
sdmk05,2,H-GA-TS,2500.0,105.0
sdmk05,2,H-GA-TS,2615.0,101.0
sdmk05,2,H-GA-TS,2615.0,101.0
sdmk05,2,H-GA-TS,2636.0,100.0
sdmk05,2,H-GA-TS,2515.0,102.0
sdmk05,2,H-GA-TS,2452.0,128.0
sdmk05,2,H-GA-TS,2500.0,105.0
