trial,alpha,beta,gamma,mu,popsize,epsilon,avg_ods,std_ods,avg_nd_size,runs_per_combo
1,0.1,0.1,0.1,0.1,50,0.001,0.13811216495837808,0.014483609196134381,6.0,2
2,0.1,0.2,0.2,0.2,100,0.002,0.16898074108997252,0.012617292901959024,9.0,2
3,0.1,0.3,0.3,0.3,150,0.005,0.1383250280685534,0.015289537809452733,7.0,2
4,0.1,0.4,0.4,0.4,200,0.008,0.15240705945767688,0.02040748172512108,8.5,2
5,0.1,0.5,0.5,0.5,250,0.01,0.09333800394879307,0.0388221458268841,10.5,2
6,0.2,0.1,0.2,0.3,200,0.01,0.15292918109635528,0.019466748289191052,14.5,2
7,0.2,0.2,0.3,0.4,250,0.001,0.10595869384637643,0.04862025766289424,9.0,2
8,0.2,0.3,0.4,0.5,50,0.002,0.1793892718197339,0.02865997987206971,8.5,2
9,0.2,0.4,0.5,0.1,100,0.005,0.15503173861797626,0.031019047973179573,9.5,2
10,0.2,0.5,0.1,0.2,150,0.008,0.1593920955966674,0.03323972372197165,7.0,2
11,0.3,0.1,0.3,0.5,100,0.008,0.14390751002264068,0.018071014033250704,10.0,2
12,0.3,0.2,0.4,0.1,150,0.01,0.17117909397780107,0.0518875100601583,13.0,2
13,0.3,0.3,0.5,0.2,200,0.001,0.16579374632053206,0.010070797202871712,12.5,2
14,0.3,0.4,0.1,0.3,250,0.002,0.18354717105471086,0.00716181530741862,7.0,2
15,0.3,0.5,0.2,0.4,50,0.005,0.1399988122261338,0.002858802410348374,5.0,2
16,0.4,0.1,0.4,0.2,250,0.005,0.17830595344677094,0.00732002898336101,7.0,2
17,0.4,0.2,0.5,0.3,50,0.008,0.17822365583984107,0.04923145703658255,7.5,2
18,0.4,0.3,0.1,0.4,100,0.01,0.13724613043044154,0.009669083789952043,12.5,2
19,0.4,0.4,0.2,0.5,150,0.001,0.177513910452986,0.023366334863065025,7.0,2
20,0.4,0.5,0.3,0.1,200,0.002,0.16252045659667474,0.02763142513837087,6.5,2
21,0.5,0.1,0.5,0.4,150,0.002,0.118753021319627,0.006949248662932617,6.5,2
22,0.5,0.2,0.1,0.5,200,0.005,0.16673148009631542,0.0036292187975979495,9.0,2
23,0.5,0.3,0.2,0.1,250,0.008,0.1510530941691264,0.01409470165080065,4.5,2
24,0.5,0.4,0.3,0.2,50,0.01,0.16725499339047045,0.027351303121755655,8.5,2
25,0.5,0.5,0.4,0.3,100,0.001,0.17817124581610078,0.0012374276651626742,11.5,2
