instance,run,algorithm,cost,makespan
sdmk05,1,EDA-TS,2786.0,123.0
sdmk05,1,EDA-TS,2915.0,105.0
sdmk05,1,EDA-TS,2850.0,113.0
sdmk05,1,EDA-TS,2829.0,115.0
sdmk05,1,EDA-TS,3162.0,100.0
sdmk05,1,EDA,3165.0,118.0
sdmk05,1,NSGA-II,3293.0,124.0
sdmk05,1,NSGA-II,3184.0,128.0
sdmk05,1,NSGA-II,3174.0,132.0
sdmk05,1,NSGA-II,3515.0,117.0
sdmk05,1,NSGA-II,3118.0,148.0
sdmk05,1,NSGA-II,3294.0,118.0
sdmk05,1,NSGA-II,3253.0,125.0
sdmk05,1,EDA-VNS,3105.0,106.0
sdmk05,1,EDA-VNS,3098.0,126.0
sdmk05,1,EDA-VNS,3098.0,126.0
sdmk05,1,H-GA-TS,3126.0,128.0
sdmk05,1,H-GA-TS,3126.0,128.0
sdmk05,1,H-GA-TS,3143.0,121.0
sdmk05,1,H-GA-TS,3188.0,110.0
sdmk05,1,H-GA-TS,3040.0,129.0
sdmk05,2,EDA-TS,3159.0,100.0
sdmk05,2,EDA-TS,3138.0,103.0
sdmk05,2,EDA-TS,3138.0,103.0
sdmk05,2,EDA-TS,2829.0,116.0
sdmk05,2,EDA-TS,3138.0,103.0
sdmk05,2,EDA-TS,3138.0,103.0
sdmk05,2,EDA-TS,3047.0,114.0
sdmk05,2,EDA-TS,3138.0,103.0
sdmk05,2,EDA-TS,3138.0,103.0
sdmk05,2,EDA,3294.0,119.0
sdmk05,2,EDA,3130.0,125.0
sdmk05,2,NSGA-II,3635.0,113.0
sdmk05,2,NSGA-II,3265.0,139.0
sdmk05,2,NSGA-II,3297.0,135.0
sdmk05,2,NSGA-II,3395.0,121.0
sdmk05,2,NSGA-II,3475.0,114.0
sdmk05,2,EDA-VNS,3135.0,121.0
sdmk05,2,EDA-VNS,3132.0,149.0
sdmk05,2,EDA-VNS,3180.0,114.0
sdmk05,2,EDA-VNS,3202.0,107.0
sdmk05,2,EDA-VNS,3197.0,112.0
sdmk05,2,EDA-VNS,3020.0,151.0
sdmk05,2,H-GA-TS,3055.0,107.0
