trial,alpha,beta,gamma,mu,popsize,epsilon,avg_ods,std_ods,avg_nd_size,runs_per_combo
1,0.1,0.1,0.1,0.1,50,0.001,0.12549677787747776,0.03022282948581994,9.5,2
2,0.1,0.2,0.2,0.2,100,0.002,0.17752363546905453,0.03995935309411297,4.5,2
3,0.1,0.3,0.3,0.3,150,0.005,0.14065396878397046,0.0507810920824814,8.5,2
4,0.1,0.4,0.4,0.4,200,0.008,0.08307253672456914,0.061779112283296286,11.0,2
5,0.1,0.5,0.5,0.5,250,0.01,0.11385803966246583,0.06235016073928299,8.5,2
6,0.2,0.1,0.2,0.3,200,0.01,0.11176146939952566,0.06939054435930808,7.5,2
7,0.2,0.2,0.3,0.4,250,0.001,0.10061867811403866,0.012274570383663704,8.5,2
8,0.2,0.3,0.4,0.5,50,0.002,0.10421458439695024,0.014282769174907853,11.0,2
9,0.2,0.4,0.5,0.1,100,0.005,0.21373162542788846,0.00030480977694313793,15.5,2
10,0.2,0.5,0.1,0.2,150,0.008,0.12818396763752632,0.012772161345550363,7.0,2
11,0.3,0.1,0.3,0.5,100,0.008,0.04298427006009191,0.04298427006009191,9.5,2
12,0.3,0.2,0.4,0.1,150,0.01,0.20953176665825496,0.029347205137532265,13.5,2
13,0.3,0.3,0.5,0.2,200,0.001,0.15386073499994096,0.002107463525274189,18.5,2
14,0.3,0.4,0.1,0.3,250,0.002,0.14948449500385502,0.09647380166274921,16.5,2
15,0.3,0.5,0.2,0.4,50,0.005,0.1356157315036688,0.008880547839311706,6.5,2
16,0.4,0.1,0.4,0.2,250,0.005,0.16088060805075144,0.01931189448217656,14.0,2
17,0.4,0.2,0.5,0.3,50,0.008,0.11386339884109933,0.013514611725510793,7.0,2
18,0.4,0.3,0.1,0.4,100,0.01,0.19542213091554367,0.001092815084353993,8.5,2
19,0.4,0.4,0.2,0.5,150,0.001,0.1555638369831457,0.0599502852506074,9.0,2
20,0.4,0.5,0.3,0.1,200,0.002,0.14776079651295765,0.06785102929433515,11.0,2
21,0.5,0.1,0.5,0.4,150,0.002,0.12398262072460803,0.01772705700174329,11.5,2
22,0.5,0.2,0.1,0.5,200,0.005,0.16224980452870746,0.02170497036451534,9.0,2
23,0.5,0.3,0.2,0.1,250,0.008,0.1531362098032933,0.0030188759095592654,9.5,2
24,0.5,0.4,0.3,0.2,50,0.01,0.18139811797578625,0.016673166778915546,9.0,2
25,0.5,0.5,0.4,0.3,100,0.001,0.1165609606105664,0.001455651648067026,13.0,2
