instance,run,algorithm,cost,makespan
sdmk05,1,EDA-TS,2753.0,92.0
sdmk05,1,EDA-TS,2753.0,92.0
sdmk05,1,EDA-TS,2753.0,92.0
sdmk05,1,EDA-TS,2802.0,89.0
sdmk05,1,EDA-TS,2802.0,89.0
sdmk05,1,EDA-TS,3125.0,88.0
sdmk05,1,EDA-TS,2802.0,89.0
sdmk05,1,EDA-TS,2753.0,92.0
sdmk05,1,EDA-TS,2753.0,92.0
sdmk05,1,EDA-TS,2753.0,92.0
sdmk05,1,EDA-TS,2753.0,92.0
sdmk05,1,EDA-TS,2802.0,89.0
sdmk05,1,EDA-TS,2802.0,89.0
sdmk05,1,EDA-TS,2802.0,89.0
sdmk05,1,EDA-TS,2802.0,89.0
sdmk05,1,EDA-TS,3125.0,88.0
sdmk05,1,EDA-TS,2753.0,92.0
sdmk05,1,EDA-TS,2753.0,92.0
sdmk05,1,EDA-TS,2753.0,92.0
sdmk05,1,EDA-TS,2802.0,89.0
sdmk05,1,EDA-TS,2802.0,89.0
sdmk05,1,EDA-TS,2753.0,92.0
sdmk05,1,EDA-TS,2753.0,92.0
sdmk05,1,EDA-TS,2802.0,89.0
sdmk05,1,EDA-TS,2802.0,89.0
sdmk05,1,EDA-TS,2753.0,92.0
sdmk05,1,EDA-TS,2802.0,89.0
sdmk05,1,EDA-TS,2802.0,89.0
sdmk05,1,EDA-TS,2802.0,89.0
sdmk05,1,EDA-TS,2753.0,92.0
sdmk05,1,EDA-TS,2753.0,92.0
sdmk05,1,EDA-TS,2802.0,89.0
sdmk05,1,EDA-TS,2753.0,92.0
sdmk05,1,EDA-TS,2802.0,89.0
sdmk05,1,EDA-TS,3158.0,87.0
sdmk05,1,EDA-TS,2753.0,92.0
sdmk05,1,EDA-TS,2802.0,89.0
sdmk05,1,EDA-TS,2802.0,89.0
sdmk05,1,EDA-TS,2753.0,92.0
sdmk05,1,EDA-TS,2753.0,92.0
sdmk05,1,EDA-TS,3125.0,88.0
sdmk05,1,EDA-TS,2753.0,92.0
sdmk05,1,EDA-TS,2753.0,92.0
sdmk05,1,EDA-TS,2753.0,92.0
sdmk05,1,EDA-TS,2753.0,92.0
sdmk05,1,EDA,2779.0,95.0
sdmk05,1,NSGA-II,2983.0,96.0
sdmk05,1,NSGA-II,3318.0,95.0
sdmk05,1,NSGA-II,2976.0,113.0
sdmk05,1,NSGA-II,2955.0,134.0
sdmk05,1,EDA-VNS,2753.0,88.0
sdmk05,1,EDA-VNS,2753.0,88.0
sdmk05,1,EDA-VNS,2753.0,88.0
sdmk05,1,EDA-VNS,2753.0,88.0
sdmk05,1,EDA-VNS,2753.0,88.0
sdmk05,1,H-GA-TS,2896.0,95.0
sdmk05,1,H-GA-TS,2896.0,95.0
sdmk05,1,H-GA-TS,2896.0,95.0
sdmk05,1,H-GA-TS,2896.0,95.0
sdmk05,1,H-GA-TS,2796.0,108.0
sdmk05,1,H-GA-TS,2812.0,96.0
sdmk05,1,H-GA-TS,2788.0,110.0
sdmk05,2,EDA-TS,3125.0,90.0
sdmk05,2,EDA-TS,3029.0,93.0
sdmk05,2,EDA-TS,3125.0,90.0
sdmk05,2,EDA-TS,2753.0,99.0
sdmk05,2,EDA-TS,2753.0,99.0
sdmk05,2,EDA-TS,3029.0,93.0
sdmk05,2,EDA-TS,2753.0,99.0
sdmk05,2,EDA-TS,2753.0,99.0
sdmk05,2,EDA-TS,2753.0,99.0
sdmk05,2,EDA-TS,3029.0,93.0
sdmk05,2,EDA-TS,2753.0,99.0
sdmk05,2,EDA-TS,3125.0,90.0
sdmk05,2,EDA-TS,3029.0,93.0
sdmk05,2,EDA-TS,3029.0,93.0
sdmk05,2,EDA-TS,2753.0,99.0
sdmk05,2,EDA-TS,3029.0,93.0
sdmk05,2,EDA-TS,3179.0,87.0
sdmk05,2,EDA-TS,3029.0,93.0
sdmk05,2,EDA-TS,3125.0,90.0
sdmk05,2,EDA-TS,3029.0,93.0
sdmk05,2,EDA-TS,2753.0,99.0
sdmk05,2,EDA-TS,2753.0,99.0
sdmk05,2,EDA-TS,3125.0,90.0
sdmk05,2,EDA-TS,2753.0,99.0
sdmk05,2,EDA-TS,2844.0,96.0
sdmk05,2,EDA-TS,3029.0,93.0
sdmk05,2,EDA-TS,2753.0,99.0
sdmk05,2,EDA-TS,2753.0,99.0
sdmk05,2,EDA-TS,2844.0,96.0
sdmk05,2,EDA-TS,3125.0,90.0
sdmk05,2,EDA-TS,3029.0,93.0
sdmk05,2,EDA-TS,2753.0,99.0
sdmk05,2,EDA-TS,3179.0,87.0
sdmk05,2,EDA-TS,2753.0,99.0
sdmk05,2,EDA-TS,2753.0,99.0
sdmk05,2,EDA-TS,3029.0,93.0
sdmk05,2,EDA-TS,3125.0,90.0
sdmk05,2,EDA,2759.0,103.0
sdmk05,2,EDA,2768.0,100.0
sdmk05,2,NSGA-II,2987.0,120.0
sdmk05,2,NSGA-II,2989.0,118.0
sdmk05,2,NSGA-II,3063.0,96.0
sdmk05,2,NSGA-II,3001.0,107.0
sdmk05,2,NSGA-II,2940.0,141.0
sdmk05,2,NSGA-II,2990.0,116.0
sdmk05,2,NSGA-II,2956.0,121.0
sdmk05,2,EDA-VNS,2753.0,83.0
sdmk05,2,EDA-VNS,2753.0,83.0
sdmk05,2,EDA-VNS,2753.0,83.0
sdmk05,2,EDA-VNS,2753.0,83.0
sdmk05,2,EDA-VNS,2753.0,83.0
sdmk05,2,H-GA-TS,2812.0,125.0
sdmk05,2,H-GA-TS,2837.0,119.0
sdmk05,2,H-GA-TS,2806.0,152.0
sdmk05,2,H-GA-TS,2812.0,125.0
sdmk05,2,H-GA-TS,2812.0,125.0
sdmk05,2,H-GA-TS,2812.0,125.0
sdmk05,2,H-GA-TS,3225.0,109.0
sdmk05,2,H-GA-TS,2837.0,119.0
sdmk05,2,H-GA-TS,3004.0,111.0
sdmk05,2,H-GA-TS,2812.0,125.0
sdmk05,2,H-GA-TS,2812.0,125.0
sdmk05,2,H-GA-TS,2812.0,125.0
sdmk05,2,H-GA-TS,2812.0,125.0
sdmk05,3,EDA-TS,3268.0,92.0
sdmk05,3,EDA-TS,3156.0,93.0
sdmk05,3,EDA-TS,2756.0,95.0
sdmk05,3,EDA-TS,2753.0,97.0
sdmk05,3,EDA-TS,2756.0,95.0
