instance,run,algorithm,seed,GD,IGD,runtime_s,nd_size,best_cost,best_makespan
sdmk05,1,EDA-TS,20270409,4.811200922949244,3.3333333333333335,103.17556357383728,45,2753.0,87.0
sdmk05,1,EDA,20270409,26.92582403567252,85.6189239155459,48.74924302101135,1,2779.0,95.0
sdmk05,1,NSGA-II,20270409,91.20375540513669,199.3428346937152,16.607138872146606,4,2955.0,95.0
sdmk05,1,EDA-VNS,20270409,0.0,67.50020576100326,101.75378394126892,5,2753.0,88.0
sdmk05,1,H-GA-TS,20270409,42.73673561970511,78.13706250586485,100.36256194114685,7,2788.0,95.0
sdmk05,2,EDA-TS,20270410,40.01269886078891,16.0,105.74838948249817,37,2753.0,87.0
sdmk05,2,EDA,20270410,15.411035007422441,20.8806130178211,39.78144407272339,2,2759.0,100.0
sdmk05,2,NSGA-II,20270410,91.43292400353789,195.78815081613087,12.836912870407104,7,2940.0,96.0
sdmk05,2,EDA-VNS,20270410,0.0,0.0,102.21594333648682,5,2753.0,83.0
sdmk05,2,H-GA-TS,20270410,45.73392303286841,72.42237223399962,101.70954990386963,13,2806.0,109.0
sdmk05,3,EDA-TS,20270411,41.79739814090682,4.242640687119285,100.86667609214783,34,2753.0,92.0
sdmk05,3,EDA,20270411,8.54400374531753,8.54400374531753,39.25446939468384,1,2761.0,95.0
sdmk05,3,NSGA-II,20270411,115.56904465137995,213.41040274550818,12.584903001785278,7,2963.0,93.0
sdmk05,3,EDA-VNS,20270411,0.0,0.0,100.8131914138794,5,2753.0,92.0
sdmk05,3,H-GA-TS,20270411,9.12749826019134,16.0,117.97137689590454,28,2753.0,99.0
sdmk05,4,EDA-TS,20270412,0.0,0.31622776601683794,107.54033851623535,9,2753.0,86.0
sdmk05,4,EDA,20270412,2.23606797749979,269.0397624763846,46.820125579833984,1,2756.0,96.0
sdmk05,4,NSGA-II,20270412,31.842385274975868,39.71606628582073,17.866855144500732,8,2880.0,92.0
sdmk05,4,EDA-VNS,20270412,7.5,270.3579954310001,100.37947702407837,2,2753.0,95.0
sdmk05,4,H-GA-TS,20270412,12.986951130037383,204.44600394736975,104.92284154891968,17,2784.0,101.0
sdmk05,5,EDA-TS,20270413,10.162802196070446,1.1,101.67818140983582,19,2753.0,83.0
sdmk05,5,EDA,20270413,1.0,370.86950774517265,36.94241809844971,1,2753.0,93.0
sdmk05,5,NSGA-II,20270413,40.61848238316039,44.925933772585864,11.476551532745361,6,2957.0,93.0
sdmk05,5,EDA-VNS,20270413,0.0,370.7539928184866,102.03249740600586,1,2753.0,92.0
sdmk05,5,H-GA-TS,20270413,12.761400132169406,175.7967459098395,108.35146427154541,15,2768.0,104.0
sdmk05,6,EDA-TS,20270414,8.707249495198027,4.949747468305833,105.4315402507782,85,2753.0,85.0
sdmk05,6,EDA,20270414,8.602325267042627,424.0158956609756,42.459360122680664,1,2758.0,95.0
sdmk05,6,NSGA-II,20270414,65.97954228395344,135.12608541782157,11.905059099197388,10,2958.0,95.0
sdmk05,6,EDA-VNS,20270414,0.0,426.67399082255355,100.68313336372375,5,2753.0,88.0
sdmk05,6,H-GA-TS,20270414,22.312191959433346,127.48261845346988,100.70769309997559,17,2759.0,100.0
sdmk05,7,EDA-TS,20270415,6.183397491416997,15.95432723736029,100.36804723739624,23,2753.0,89.0
sdmk05,7,EDA,20270415,5.024937810560445,79.88064359506473,43.28408622741699,2,2753.0,98.0
sdmk05,7,NSGA-II,20270415,67.97563901869552,177.41087956598665,13.768640756607056,4,2976.0,94.0
sdmk05,7,EDA-VNS,20270415,0.0,57.00219294027204,101.63592982292175,5,2753.0,92.0
sdmk05,7,H-GA-TS,20270415,18.587298198527606,52.352421778464425,105.78044271469116,18,2825.0,104.0
sdmk05,8,EDA-TS,20270416,2.712081769347947,8.32993127835043,102.20796036720276,23,2753.0,87.0
sdmk05,8,EDA,20270416,13.92838827718412,90.2670933229635,37.04041004180908,1,2766.0,95.0
sdmk05,8,NSGA-II,20270416,49.02833647777353,145.58456845218396,11.542656421661377,3,2950.0,97.0
sdmk05,8,EDA-VNS,20270416,0.0,84.00437306401109,100.90784859657288,5,2753.0,90.0
sdmk05,8,H-GA-TS,20270416,21.984843263788196,107.77871222316777,117.3090660572052,6,2805.0,104.0
sdmk05,9,EDA-TS,20270417,9.727022075062514,6.997156150006259,107.48800110816956,19,2753.0,87.0
sdmk05,9,EDA,20270417,0.0,270.0860295586192,71.91304206848145,1,2764.0,91.0
sdmk05,9,NSGA-II,20270417,65.72290316168329,92.65902040451061,22.323351860046387,4,2945.0,94.0
sdmk05,9,EDA-VNS,20270417,0.0,274.20496688429967,100.94248652458191,5,2753.0,92.0
sdmk05,9,H-GA-TS,20270417,6.799380045129824,122.9999481786604,107.41453242301941,46,2767.0,102.0
sdmk05,10,EDA-TS,20270418,56.18572659115639,13.0384048104053,106.38969826698303,38,2753.0,89.0
sdmk05,10,EDA,20270418,2.8284271247461903,2.8284271247461903,44.56517267227173,1,2755.0,90.0
sdmk05,10,NSGA-II,20270418,94.28849346553375,170.76592165886026,12.052349328994751,5,2918.0,98.0
sdmk05,10,EDA-VNS,20270418,0.0,0.0,101.01550030708313,5,2753.0,88.0
sdmk05,10,H-GA-TS,20270418,24.09039100503581,16.0,118.05796074867249,14,2753.0,102.0
