instance,run,a,b,c_ab,c_ba
sdmk05,1,EDA-TS,EDA,1.0,0.0
sdmk05,1,EDA-TS,NSGA-II,1.0,0.0
sdmk05,1,EDA-TS,EDA-VNS,0.0,0.9818181818181818
sdmk05,1,EDA-TS,H-GA-TS,1.0,0.0
sdmk05,1,EDA,NSGA-II,1.0,0.0
sdmk05,1,EDA,EDA-VNS,0.0,1.0
sdmk05,1,EDA,H-GA-TS,1.0,0.0
sdmk05,1,NSGA-II,EDA-VNS,0.0,1.0
sdmk05,1,NSGA-II,H-GA-TS,0.0,1.0
sdmk05,1,EDA-VNS,H-GA-TS,1.0,0.0
sdmk05,2,EDA-TS,EDA,1.0,0.0
sdmk05,2,EDA-TS,NSGA-II,1.0,0.0
sdmk05,2,EDA-TS,EDA-VNS,0.0,0.9555555555555556
sdmk05,2,EDA-TS,H-GA-TS,1.0,0.0
sdmk05,2,EDA,NSGA-II,0.8571428571428571,0.0
sdmk05,2,EDA,EDA-VNS,0.0,1.0
sdmk05,2,EDA,H-GA-TS,1.0,0.0
sdmk05,2,NSGA-II,EDA-VNS,0.0,1.0
sdmk05,2,NSGA-II,H-GA-TS,0.15384615384615385,0.42857142857142855
sdmk05,2,EDA-VNS,H-GA-TS,1.0,0.0
