instance,run,algorithm,cost,makespan
sdmk05,1,EDA-TS,2973.0,109.0
sdmk05,1,EDA-TS,2767.0,143.0
sdmk05,1,EDA-TS,3287.0,98.0
sdmk05,1,EDA-TS,2789.0,123.0
sdmk05,1,EDA-TS,3044.0,108.0
sdmk05,1,EDA-TS,2973.0,109.0
sdmk05,1,EDA-TS,2899.0,110.0
sdmk05,1,EDA-TS,3137.0,103.0
sdmk05,1,EDA-TS,2859.0,121.0
sdmk05,1,EDA-TS,2973.0,109.0
sdmk05,1,EDA,3142.0,120.0
sdmk05,1,EDA,3276.0,114.0
sdmk05,1,EDA,3167.0,116.0
sdmk05,1,EDA,3130.0,128.0
sdmk05,1,EDA,3291.0,111.0
sdmk05,1,EDA,3102.0,169.0
sdmk05,1,NSGA-II,3039.0,105.0
sdmk05,1,EDA-VNS,3137.0,132.0
sdmk05,1,EDA-VNS,3271.0,120.0
sdmk05,1,EDA-VNS,3338.0,107.0
sdmk05,1,EDA-VNS,3180.0,127.0
sdmk05,1,EDA-VNS,3214.0,122.0
sdmk05,1,EDA-VNS,3230.0,121.0
sdmk05,1,EDA-VNS,2984.0,136.0
sdmk05,1,EDA-VNS,2982.0,144.0
sdmk05,1,H-GA-TS,2910.0,127.0
sdmk05,1,H-GA-TS,2967.0,95.0
sdmk05,2,EDA-TS,3266.0,97.0
sdmk05,2,EDA-TS,2821.0,126.0
sdmk05,2,EDA-TS,2868.0,103.0
sdmk05,2,EDA-TS,2767.0,147.0
sdmk05,2,EDA-TS,2802.0,133.0
sdmk05,2,EDA-TS,3266.0,97.0
sdmk05,2,EDA-TS,2821.0,126.0
sdmk05,2,EDA,3112.0,132.0
sdmk05,2,EDA,3095.0,134.0
sdmk05,2,EDA,3115.0,117.0
sdmk05,2,NSGA-II,3202.0,110.0
sdmk05,2,NSGA-II,3200.0,121.0
sdmk05,2,NSGA-II,3126.0,180.0
sdmk05,2,NSGA-II,3154.0,126.0
sdmk05,2,EDA-VNS,3318.0,109.0
sdmk05,2,EDA-VNS,3205.0,117.0
sdmk05,2,EDA-VNS,3142.0,119.0
sdmk05,2,EDA-VNS,2924.0,145.0
sdmk05,2,H-GA-TS,3258.0,112.0
sdmk05,2,H-GA-TS,2845.0,115.0
