trial,alpha,beta,gamma,mu,popsize,epsilon,avg_ods,std_ods,avg_nd_size,runs_per_combo
1,0.1,0.1,0.1,0.1,50,0.001,0.2730114224678428,0.015478499072896557,14.0,2
2,0.1,0.2,0.2,0.2,100,0.002,0.22931693830983452,0.07653815153177423,13.5,2
3,0.1,0.3,0.3,0.3,150,0.005,0.27522666495198017,0.03215576975175345,15.0,2
4,0.1,0.4,0.4,0.4,200,0.008,0.3094083364365147,0.07243530781226142,13.5,2
5,0.1,0.5,0.5,0.5,250,0.01,0.15176504618138156,0.0187509514939945,11.0,2
6,0.2,0.1,0.2,0.3,200,0.01,0.28064767716406946,0.008301661045115954,11.5,2
7,0.2,0.2,0.3,0.4,250,0.001,0.3216173594543007,0.019638313102414956,15.5,2
8,0.2,0.3,0.4,0.5,50,0.002,0.20880364573487917,0.031665509039426665,14.5,2
9,0.2,0.4,0.5,0.1,100,0.005,0.2112088740429523,0.04467549047214438,15.5,2
10,0.2,0.5,0.1,0.2,150,0.008,0.27385365081183083,0.026303036782337544,12.5,2
11,0.3,0.1,0.3,0.5,100,0.008,0.19852694458482711,0.031415687168675,14.0,2
12,0.3,0.2,0.4,0.1,150,0.01,0.24516392365983924,0.06803499675678876,16.0,2
13,0.3,0.3,0.5,0.2,200,0.001,0.20144068075040245,0.0016222032394782732,16.0,2
14,0.3,0.4,0.1,0.3,250,0.002,0.23431849998381343,0.015550386281933087,10.5,2
15,0.3,0.5,0.2,0.4,50,0.005,0.2852964292995344,0.05632374256567994,19.0,2
16,0.4,0.1,0.4,0.2,250,0.005,0.2765676597127061,0.04041388543747536,12.0,2
17,0.4,0.2,0.5,0.3,50,0.008,0.26551302038609437,0.06974715078015833,13.5,2
18,0.4,0.3,0.1,0.4,100,0.01,0.24135208820695997,0.036747666112526944,9.0,2
19,0.4,0.4,0.2,0.5,150,0.001,0.2202560285720441,0.027678659960779756,14.5,2
20,0.4,0.5,0.3,0.1,200,0.002,0.20802990596185522,0.02339401261674627,18.0,2
21,0.5,0.1,0.5,0.4,150,0.002,0.23187527440095623,0.02042478055075149,14.0,2
22,0.5,0.2,0.1,0.5,200,0.005,0.1947384828514505,0.058262572274559166,12.5,2
23,0.5,0.3,0.2,0.1,250,0.008,0.21565232844716808,0.07663487339324838,9.0,2
24,0.5,0.4,0.3,0.2,50,0.01,0.2404352774119708,0.03834341802625019,11.5,2
25,0.5,0.5,0.4,0.3,100,0.001,0.19014379534622627,0.005640880558589356,15.0,2
